ASN,CustomerDegree,PeerDegree,ProviderDegree,GlobalDegree,TotalIpSpace,Classification
1,0,1,7,8,13488,Content
25139,5,20,3,28,163840,Transit
2,3,1,7,11,70144,Transit
50019,0,0,2,2,2048,Enterprise
266771,11,1,8,20,3072,Transit
328218,0,0,2,2,8192,Enterprise
3,3,3,12,18,1851136,Transit
293,34,719,4,757,140800,Transit
18614,0,0,3,3,2048,Enterprise
22608,1,0,2,3,4096,Transit
4,1,1,7,9,68864,Transit
5,2,1,3,6,0,Transit
10,1,0,2,3,256,Transit
133993,7,0,2,9,256,Transit
8,2,0,5,7,463360,Transit
1700,0,0,1,1,256,Enterprise
25944,0,1,2,3,256,Content
15,1,0,1,2,0,Transit
12,2,0,4,6,98560,Transit
54965,0,0,1,1,65536,Enterprise
394666,0,0,4,4,3584,Enterprise
262663,6,8,79,93,24320,Transit
24,1,3,4,8,65536,Transit
7575,92,1166,7,1265,1215232,Transit
10343,0,0,2,2,123904,Enterprise
22388,0,9,1,10,0,Content
33,2,0,1,3,5376,Transit
13979,5,6,4,15,49152,Transit
54680,0,0,1,1,33536,Enterprise
34,1,1,4,6,65792,Transit
35,1,0,1,2,136448,Transit
5691,0,0,1,1,1024,Enterprise
42,8,977,14,999,59392,Transit
137,16,108,3,127,2763008,Transit
187,0,0,1,1,4608,Enterprise
249,4,613,3,620,2048,Transit
715,2,1,4,7,85248,Transit
983,17,644,11,672,1280,Transit
1248,1,688,4,693,47872,Transit
1547,3,1034,12,1049,119808,Transit
1680,151,693,7,851,1588480,Transit
1820,126,743,5,874,52480,Transit
1921,3,627,16,646,2560,Transit
1955,7,72,4,83,395776,Transit
2018,6,672,3,681,2139648,Transit
2484,0,719,6,725,0,Content
2593,2,100,3,105,2560,Transit
2594,0,84,5,89,87040,Content
2635,0,825,14,839,51200,Content
2686,96,245,4,345,1428736,Transit
2818,0,628,4,632,81920,Content
2906,1,891,10,902,208896,Transit
3213,2,624,2,628,14336,Transit
3223,196,707,8,911,74496,Transit
3327,35,1029,6,1070,85504,Transit
3462,36,683,3,722,16360960,Transit
3856,0,908,6,914,256,Content
4004,1,626,1,628,256,Transit
4651,41,714,11,766,9472,Transit
4764,90,685,6,781,660224,Transit
4800,240,677,8,925,196864,Transit
5378,2,618,1,621,2793216,Transit
5394,6,255,5,266,115200,Transit
5459,4,612,4,620,3328,Transit
5466,16,666,3,685,1111040,Transit
5482,3,613,2,618,56320,Transit
5483,65,75,5,145,1559552,Transit
5500,0,609,3,612,28672,Content
5503,2,619,2,623,102400,Transit
5564,1,606,2,609,17408,Transit
5631,0,619,3,622,46080,Content
6204,43,715,10,768,768,Transit
6206,11,688,4,703,27392,Transit
6507,1,829,20,850,27136,Transit
6648,1,611,9,621,934656,Transit
6661,30,674,2,706,220160,Transit
6677,29,654,4,687,140800,Transit
6717,0,616,4,620,18432,Content
6866,29,999,7,1035,1183744,Transit
7155,2,668,12,682,2131968,Transit
7342,66,722,8,796,33024,Transit
7642,10,657,6,673,121088,Transit
7979,7,643,10,660,466688,Transit
8218,159,1208,3,1370,47360,Transit
8262,59,697,6,762,57344,Transit
8282,5,617,4,626,4096,Transit
8301,4,616,8,628,38656,Transit
8302,0,713,4,717,5632,Content
8304,4,746,6,756,70144,Transit
8309,15,1163,5,1183,41216,Transit
8400,86,1072,4,1162,1043712,Transit
8422,31,687,4,722,577280,Transit
8447,130,216,5,351,2759936,Transit
8448,2,73,2,77,53248,Transit
8452,67,654,7,728,14986752,Transit
8468,13,621,2,636,360192,Transit
8529,32,693,9,734,14592,Transit
8530,0,620,3,623,0,Content
8544,16,661,3,680,132608,Transit
8551,124,690,8,822,3722496,Transit
8560,9,718,4,731,845312,Transit
8612,11,119,2,132,541696,Transit
8637,19,681,3,703,1024,Transit
8674,13,863,14,890,8960,Transit
8680,10,612,2,624,80640,Transit
8681,6,624,3,633,76640,Transit
8683,0,622,2,624,9984,Content
8757,8,675,4,687,3840,Transit
8851,4,611,3,618,635904,Transit
8878,1,648,5,654,2304,Transit
8902,2,606,3,611,15616,Transit
8953,102,675,4,781,231680,Transit
8968,19,102,4,125,978688,Transit
8990,8,74,2,84,67328,Transit
9009,113,788,18,919,1607168,Transit
9036,0,731,4,735,5120,Content
9050,160,744,5,909,1765120,Transit
9137,0,109,3,112,10240,Content
9140,0,597,2,599,768,Content
9145,39,685,5,729,924416,Transit
9146,12,92,4,108,436992,Transit
9153,2,618,2,622,25344,Transit
9354,12,622,5,639,200448,Transit
9381,52,685,9,746,702720,Transit
9498,907,1083,11,2001,4073472,Transit
9583,196,676,8,880,993280,Transit
9902,27,997,6,1030,35328,Transit
9930,92,687,6,785,836864,Transit
10310,33,896,12,941,109824,Transit
10474,5,634,4,643,1381376,Transit
10886,19,3,8,30,12800,Transit
11260,42,621,6,669,626432,Transit
12200,17,654,6,677,5632,Transit
12290,0,602,2,604,0,Content
12301,46,171,2,219,340736,Transit
12303,0,71,1,72,2048,Content
12399,1,656,3,660,42496,Transit
12440,1,670,5,676,47616,Transit
12491,8,658,11,677,78080,Transit
12496,4,620,2,626,20992,Transit
12576,0,624,4,628,156160,Content
12703,20,610,5,635,171520,Transit
12713,5,700,6,711,6144,Transit
12759,0,661,5,666,25600,Content
12850,0,673,3,676,37120,Content
13009,10,622,2,634,31744,Transit
13037,3,629,3,635,528128,Transit
13113,1,131,4,136,34816,Transit
13122,2,659,3,664,85760,Transit
13150,0,778,48,826,52480,Content
13208,4,616,2,622,12032,Transit
13213,9,705,8,722,287744,Transit
13285,5,708,6,719,7593984,Transit
13360,0,629,11,640,3584,Content
13414,2,723,5,730,48384,Transit
13768,28,657,6,691,674560,Transit
13896,0,679,3,682,7168,Content
14061,2,720,10,732,3021568,Transit
14127,2,656,10,668,65280,Transit
14593,2,720,26,748,526080,Transit
15133,5,827,50,882,5120,Transit
15510,2,613,3,618,7680,Transit
15566,1,72,1,74,2048,Transit
15606,0,647,3,650,256,Content
15654,0,607,2,609,16384,Content
15695,20,758,34,812,44544,Transit
15766,4,616,3,623,19968,Transit
15802,38,696,7,741,2298368,Transit
16082,1,629,2,632,79872,Transit
16164,3,640,5,648,2560,Transit
16247,4,621,3,628,85504,Transit
16265,11,833,5,849,0,Transit
16276,66,353,15,434,4538880,Transit
16303,0,596,2,598,256,Content
16353,4,623,3,630,25344,Transit
16637,35,675,10,720,5346816,Transit
16668,1,1,2,4,2816,Transit
17088,1,616,10,627,9984,Transit
17494,59,658,7,724,80896,Transit
17557,97,693,11,801,7875840,Transit
17978,0,625,11,636,18688,Content
18059,14,672,7,693,26624,Transit
18283,1,618,3,622,73728,Transit
19281,0,1,4,5,1280,Content
19551,156,806,40,1002,216230,Transit
19711,6,682,5,693,43776,Transit
20326,12,696,7,715,134656,Transit
20473,507,777,24,1308,1291264,Transit
20596,0,598,3,601,1024,Content
20681,0,608,4,612,4608,Content
20712,6,626,5,637,147200,Transit
20766,4,175,4,183,10496,Transit
20799,3,619,3,625,13824,Transit
20804,243,723,5,971,243200,Transit
20845,4,74,2,80,633856,Transit
20860,27,619,2,648,427264,Transit
20915,0,613,2,615,12288,Content
20940,15,1211,103,1329,15680768,Transit
21056,4,689,4,697,89344,Transit
21101,2,128,2,132,5120,Transit
21267,3,616,3,622,81168,Transit
21333,2,82,3,87,4096,Transit
21334,18,73,2,93,1706752,Transit
21472,4,617,2,623,7936,Transit
21556,0,0,3,3,512,Enterprise
21859,118,820,57,995,922880,Transit
22697,2,741,8,751,44800,Transit
23028,1,650,6,657,22784,Transit
23344,0,709,10,719,4096,Content
23576,2,694,14,710,223488,Transit
23889,11,645,8,664,2148352,Transit
24429,6,1137,62,1205,134912,Transit
24594,0,620,3,623,3584,Content
24717,0,81,2,83,512,Content
24806,0,81,5,86,46080,Content
24822,1,69,2,72,41984,Transit
24916,3,623,3,629,34048,Transit
24940,27,721,11,759,2811136,Transit
25376,1,621,2,624,10752,Transit
25460,7,617,2,626,6144,Transit
25488,0,79,1,80,8192,Content
25509,1,658,1,660,8192,Transit
25875,0,89,9,98,7680,Content
26415,46,566,6,618,256,Transit
28283,202,699,9,910,28672,Transit
28725,30,685,2,717,264960,Transit
28757,1,603,2,606,19968,Transit
28929,0,89,4,93,71424,Content
29006,1,617,2,620,8192,Transit
29009,0,605,2,607,28672,Content
29017,2,627,1,630,35328,Transit
29119,188,674,13,875,649728,Transit
29278,23,92,3,118,32256,Transit
29405,21,171,6,198,36864,Transit
29419,0,618,3,621,4096,Content
29452,0,614,2,616,13312,Content
29527,1,621,1,623,13568,Transit
29606,2,642,7,651,6400,Transit
29611,4,625,2,631,19712,Transit
29668,4,631,4,639,21248,Transit
29838,69,716,4,789,212992,Transit
30081,4,759,21,784,14080,Transit
30740,5,618,2,625,66816,Transit
30827,0,613,4,617,24832,Content
30836,3,70,1,74,6656,Transit
31042,68,711,5,784,562432,Transit
31084,0,640,4,644,11264,Content
31121,0,81,1,82,2816,Content
31122,23,675,3,701,211712,Transit
31449,0,679,2,681,5120,Content
31459,0,598,0,598,0,Content
31472,1,622,2,625,14080,Transit
31500,141,973,7,1121,17152,Transit
31510,1,988,3,992,28160,Transit
31515,2,645,2,649,87040,Transit
31529,5,711,10,726,1280,Transit
31631,3,618,1,622,1280,Transit
31638,3,752,4,759,117248,Transit
31708,10,617,5,632,34304,Transit
31727,10,625,4,639,77056,Transit
31898,18,732,36,786,4692224,Transit
32590,0,1194,28,1222,12800,Content
32787,688,776,18,1482,101632,Transit
32934,2,953,17,972,509440,Transit
33182,6,619,18,643,103936,Transit
33353,7,823,12,842,49152,Transit
33763,55,667,8,730,116736,Transit
33920,4,621,3,628,40960,Transit
34066,0,618,3,621,18944,Content
34087,8,655,3,666,210432,Transit
34119,3,615,3,621,13568,Transit
34245,3,624,5,632,122368,Transit
34270,1,616,2,619,8192,Transit
34422,0,120,3,123,1280,Content
34428,11,652,6,669,512,Transit
34442,3,620,2,625,28928,Transit
34465,14,668,6,688,0,Transit
34606,1,129,2,132,69888,Transit
34655,1,776,10,787,8704,Transit
34691,2,96,4,102,2048,Transit
34746,0,616,3,619,2048,Content
34758,1,137,3,141,48128,Transit
35071,1,603,2,606,6400,Transit
35180,0,641,4,645,1536,Content
35228,5,626,2,633,285184,Transit
35263,0,71,1,72,2560,Content
35297,154,695,3,852,14080,Transit
35311,0,166,2,168,70656,Content
35313,1,658,4,663,14336,Transit
35399,0,612,2,614,6144,Content
35432,29,674,2,705,128000,Transit
35437,0,616,3,619,2048,Content
35574,3,688,6,697,2304,Transit
35575,5,619,3,627,68864,Transit
35612,3,118,3,124,402432,Transit
35793,0,682,4,686,5888,Content
35826,4,617,2,623,22528,Transit
35834,0,614,5,619,3072,Content
36236,94,1145,24,1263,70144,Transit
36351,15,776,18,809,4056576,Transit
36874,14,625,5,644,353024,Transit
36916,3,624,4,631,147968,Transit
36944,10,676,2,688,2048,Transit
36994,26,631,3,660,1131008,Transit
37054,6,649,4,659,1262080,Transit
37119,13,630,3,646,923648,Transit
37273,14,625,5,644,14080,Transit
37282,111,618,4,733,105728,Transit
37613,52,639,4,695,3328,Transit
37678,15,619,5,639,33280,Transit
38158,205,695,5,905,5632,Transit
38182,26,675,4,705,63744,Transit
38623,3,662,12,677,402432,Transit
38719,0,614,6,620,72448,Content
39063,1,1033,14,1048,512,Transit
39175,3,620,4,627,3328,Transit
39180,24,736,7,767,16640,Transit
39201,2,70,1,73,2048,Transit
39202,0,619,3,622,4096,Content
39208,0,614,3,617,3840,Content
39356,1,615,3,619,50944,Transit
39386,47,728,7,782,37376,Transit
39479,2,101,2,105,2048,Transit
39498,0,615,6,621,1280,Content
39522,0,598,3,601,12288,Content
39537,4,612,2,618,26368,Transit
39572,8,675,4,687,68608,Transit
39602,1,613,2,616,1280,Transit
39636,3,112,2,117,40960,Transit
39679,1,72,1,74,2304,Transit
39737,94,682,5,781,45568,Transit
39875,0,610,5,615,5120,Content
40627,0,759,12,771,26880,Content
41000,1,622,1,624,8704,Transit
41090,0,164,2,166,5120,Content
41107,4,615,2,621,15616,Transit
41206,10,66,2,78,2048,Transit
41230,2,628,2,632,122112,Transit
41303,0,70,1,71,1024,Content
41313,43,675,4,722,45568,Transit
41354,3,620,2,625,94464,Transit
